x,y,layer1,layer2,voltage1,voltage2,current
3547.48,4365.9,TOP_LAYER,GND,0.000634856,0.000634923,-0.000492117
3547.48,4365.9,GND,POWER,0.000634923,0.000633394,0.000871191
3547.48,4365.9,POWER,BOTTOM_LAYER,0.000633394,0.000633277,0.000871191
3547.48,4405.27,TOP_LAYER,GND,0.000633145,0.000633014,0.000969534
3547.48,4405.27,GND,POWER,0.000633014,0.00063236,0.000372678
3547.48,4405.27,POWER,BOTTOM_LAYER,0.00063236,0.00063231,0.000372678
3547.48,4444.64,TOP_LAYER,GND,0.000632282,0.000632246,0.000270815
3547.48,4444.64,GND,POWER,0.000632246,0.000631623,0.000355096
3547.48,4444.64,POWER,BOTTOM_LAYER,0.000631623,0.000631575,0.000355096
3575.48,3525.35,TOP_LAYER,GND,0.00126513,0.00126492,0.00160759
3575.48,3525.35,GND,POWER,0.00126492,0.00126185,0.00174822
3575.48,3525.35,POWER,BOTTOM_LAYER,0.00126185,0.00126161,0.00174822
3575.48,3550.94,TOP_LAYER,GND,0.00126365,0.00126492,-0.00940725
3575.48,3550.94,GND,POWER,0.00126492,0.00126185,0.00174822
3575.48,3550.94,POWER,BOTTOM_LAYER,0.00126185,0.00126161,0.00174822
3575.48,3728.11,TOP_LAYER,GND,0.00122099,0.00122022,0.00567119
3575.48,3728.11,GND,POWER,0.00122022,0.00122707,-0.00390555
3575.48,3728.11,POWER,BOTTOM_LAYER,0.00122707,0.0012276,-0.00390555
3575.48,3753.7,TOP_LAYER,GND,0.00122099,0.00122022,0.00567119
3575.48,3753.7,GND,POWER,0.00122022,0.00122707,-0.00390555
3575.48,3753.7,POWER,BOTTOM_LAYER,0.00122707,0.0012276,-0.00390555
3577.99,4005.67,TOP_LAYER,GND,0.000812717,0.000815243,-0.0187145
3577.99,4005.67,GND,POWER,0.000815243,0.000809342,0.00336294
3577.99,4005.67,POWER,BOTTOM_LAYER,0.000809342,0.000808888,0.00336294
3577.99,4031.26,TOP_LAYER,GND,0.000812717,0.000811342,0.0101891
