x;y;layer1;layer2;voltage1;voltage2;current
3605.55;3601.14;POWER;BOTTOM_LAYER;0.0012472;0.00124683;0.0027522
3605.55;3664.13;TOP_LAYER;GND;0.00122958;0.00123033;-0.00556243
3605.55;3664.13;GND;POWER;0.00123033;0.00123542;-0.0029041
3605.55;3664.13;POWER;BOTTOM_LAYER;0.00123542;0.00123582;-0.0029041
3608.07;4081.45;TOP_LAYER;GND;0.000795982;0.000796355;-0.00276981
3608.07;4081.45;GND;POWER;0.000796355;0.000796832;-0.000271804
3608.07;4081.45;POWER;BOTTOM_LAYER;0.000796832;0.000796869;-0.000271804
3608.07;4144.45;TOP_LAYER;GND;0.000785871;0.000786515;-0.00477303
3608.07;4144.45;GND;POWER;0.000786515;0.000787258;-0.000423105
3608.07;4144.45;POWER;BOTTOM_LAYER;0.000787258;0.000787315;-0.000423105
3625.68;3687.75;TOP_LAYER;GND;0.00121772;0.00121841;-0.00513969
3625.68;3687.75;GND;POWER;0.00121841;0.00122324;-0.00275398
3625.68;3687.75;POWER;BOTTOM_LAYER;0.00122324;0.00122362;-0.00275398
3626.22;3297.99;TOP_LAYER;GND;0.00144735;0.00144739;-0.000363187
3626.22;3297.99;GND;POWER;0.00144739;0.00144788;-0.00027673
3626.22;3297.99;POWER;BOTTOM_LAYER;0.00144788;0.00144792;-0.00027673
3626.22;3337.36;TOP_LAYER;GND;0.00144735;0.00144739;-0.000356451
3626.22;3337.36;GND;POWER;0.00144739;0.0014476;-0.000117088
3626.22;3337.36;POWER;BOTTOM_LAYER;0.0014476;0.00144761;-0.000117088
3626.22;3376.73;TOP_LAYER;GND;0.00144664;0.00144668;-0.000282386
3626.22;3376.73;GND;POWER;0.00144668;0.00144721;-0.000303411
3626.22;3376.73;POWER;BOTTOM_LAYER;0.00144721;0.00144725;-0.000303411
3626.22;4365.9;TOP_LAYER;GND;0.00062174;0.000621612;0.000943199
3626.22;4365.9;GND;POWER;0.000621612;0.000621593;1.10693e-05
3626.22;4365.9;POWER;BOTTOM_LAYER;0.000621593;0.000621591;1.10693e-05
3626.22;4405.27;TOP_LAYER;GND;0.000621351;0.000621335;0.000118532
3626.22;4405.27;GND;POWER;0.000621335;0.000621187;8.42645e-05
3626.22;4405.27;POWER;BOTTOM_LAYER;0.000621187;0.000621176;8.42645e-05
3626.22;4444.64;TOP_LAYER;GND;0.000621046;0.000621036;7.19435e-05
3626.22;4444.64;GND;POWER;0.000621036;0.000620877;9.06831e-05
3626.22;4444.64;POWER;BOTTOM_LAYER;0.000620877;0.000620865;9.06831e-05
3627.21;3574.56;TOP_LAYER;GND;0.00125356;0.00125513;-0.0116403
3627.21;3574.56;GND;POWER;0.00125513;0.00125503;6.16128e-05
3627.21;3574.56;POWER;BOTTOM_LAYER;0.00125503;0.00125502;6.16128e-05
3628.19;4168.07;TOP_LAYER;GND;0.000773407;0.000773625;-0.00161667
3628.19;4168.07;GND;POWER;0.000773625;0.000777177;-0.00202417
3628.19;4168.07;POWER;BOTTOM_LAYER;0.000777177;0.00077745;-0.00202417
3629.72;4054.88;TOP_LAYER;GND;0.00080629;0.000807395;-0.00818926
3629.72;4054.88;GND;POWER;0.000807395;0.000804715;0.00152769
3629.72;4054.88;POWER;BOTTOM_LAYER;0.000804715;0.000804509;0.00152769
3652.8;3573.58;TOP_LAYER;GND;0.00125524;0.00125513;0.00078539
3652.8;3573.58;GND;POWER;0.00125513;0.00126109;-0.00339399
3652.8;3573.58;POWER;BOTTOM_LAYER;0.00126109;0.00126155;-0.00339399
3655.75;4053.9;TOP_LAYER;GND;0.000807906;0.000807395;0.00378545
3655.75;4053.9;GND;POWER;0.000807395;0.000809552;-0.0012291
3655.75;4053.9;POWER;BOTTOM_LAYER;0.000809552;0.000809718;-0.0012291
3665.59;3297.99;TOP_LAYER;GND;0.00145254;0.0014526;-0.000434897
3665.59;3297.99;GND;POWER;0.0014526;0.00145303;-0.000246082
3665.59;3297.99;POWER;BOTTOM_LAYER;0.00145303;0.00145307;-0.000246082
3665.59;3337.36;TOP_LAYER;GND;0.00145254;0.00145259;-0.000384888
3665.59;3337.36;GND;POWER;0.00145259;0.00145264;-2.78344e-05
3665.59;3337.36;POWER;BOTTOM_LAYER;0.00145264;0.00145265;-2.78344e-05
3665.59;3376.73;TOP_LAYER;GND;0.00145137;0.00145126;0.000788913
3665.59;3376.73;GND;POWER;0.00145126;0.00145205;-0.000452223
3665.59;3376.73;POWER;BOTTOM_LAYER;0.00145205;0.00145211;-0.000452223
3665.59;4365.9;TOP_LAYER;GND;0.000617568;0.000617638;-0.000523396
3665.59;4365.9;GND;POWER;0.000617638;0.000617392;0.000140527
3665.59;4365.9;POWER;BOTTOM_LAYER;0.000617392;0.000617373;0.000140527
3665.59;4405.27;TOP_LAYER;GND;0.000617144;0.000617138;3.96425e-05
3665.59;4405.27;GND;POWER;0.000617138;0.00061707;3.91514e-05
3665.59;4405.27;POWER;BOTTOM_LAYER;0.00061707;0.000617065;3.91514e-05
3665.59;4444.64;TOP_LAYER;GND;0.000616706;0.000616702;2.70157e-05
3665.59;4444.64;GND;POWER;0.000616702;0.000616657;2.56024e-05
3665.59;4444.64;POWER;BOTTOM_LAYER;0.000616657;0.000616653;2.56024e-05
3672.92;3504.68;TOP_LAYER;GND;0.00127983;0.00128165;-0.013503
3672.92;3504.68;GND;POWER;0.00128165;0.00127577;0.00334936
3672.92;3504.68;POWER;BOTTOM_LAYER;0.00127577;0.00127532;0.00334936
3672.92;3530.27;TOP_LAYER;GND;0.00127476;0.00127387;0.00657459
3672.92;3530.27;GND;POWER;0.00127387;0.00127032;0.00202479
3672.92;3530.27;POWER;BOTTOM_LAYER;0.00127032;0.00127005;0.00202479
3672.92;3555.86;TOP_LAYER;GND;0.00127318;0.00127387;-0.00511387
3672.92;3555.86;GND;POWER;0.00127387;0.00127032;0.00202479
3672.92;3555.86;POWER;BOTTOM_LAYER;0.00127032;0.00127005;0.00202479
3672.92;3709.41;TOP_LAYER;GND;0.00120619;0.00120687;-0.00501284
3672.92;3709.41;GND;POWER;0.00120687;0.00121302;-0.00350239
3672.92;3709.41;POWER;BOTTOM_LAYER;0.00121302;0.00121349;-0.00350239
3672.92;3735;TOP_LAYER;GND;0.00119836;0.00119713;0.0091059
3672.92;3735;GND;POWER;0.00119713;0.00120684;-0.00553338
3672.92;3735;POWER;BOTTOM_LAYER;0.00120684;0.00120759;-0.00553338
3672.92;3760.59;TOP_LAYER;GND;0.00119664;0.00119713;-0.00364401
3672.92;3760.59;GND;POWER;0.00119713;0.00120251;-0.00306585
3672.92;3760.59;POWER;BOTTOM_LAYER;0.00120251;0.00120293;-0.00306585
3675.44;3985;TOP_LAYER;GND;0.000818992;0.000818735;0.00190143
3675.44;3985;GND;POWER;0.000818735;0.000817764;0.000553875
3675.44;3985;POWER;BOTTOM_LAYER;0.000817764;0.000817689;0.000553875
3675.44;4010.59;TOP_LAYER;GND;0.000816402;0.000818735;-0.0172873
3675.44;4010.59;GND;POWER;0.000818735;0.000815961;0.00158097
3675.44;4010.59;POWER;BOTTOM_LAYER;0.000815961;0.000815748;0.00158097
3675.44;4036.18;TOP_LAYER;GND;0.000816402;0.000814974;0.0105848
3675.44;4036.18;GND;POWER;0.000814974;0.000810093;0.00278154
3675.44;4036.18;POWER;BOTTOM_LAYER;0.000810093;0.000809718;0.00278154
3675.44;4189.72;TOP_LAYER;GND;0.000753743;0.000754037;-0.00218293
3675.44;4189.72;GND;POWER;0.000754037;0.000764346;-0.00587519
3675.44;4189.72;POWER;BOTTOM_LAYER;0.000764346;0.000765139;-0.00587519
3675.44;4215.31;TOP_LAYER;GND;0.000753973;0.000754037;-0.000476709
3675.44;4215.31;GND;POWER;0.000754037;0.000760422;-0.0036389
3675.44;4215.31;POWER;BOTTOM_LAYER;0.000760422;0.000760913;-0.0036389
3675.44;4240.9;TOP_LAYER;GND;0.000747514;0.000747169;0.00255759
3675.44;4240.9;GND;POWER;0.000747169;0.000753219;-0.00344798
3675.44;4240.9;POWER;BOTTOM_LAYER;0.000753219;0.000753684;-0.00344798
3696.54;3711.37;TOP_LAYER;GND;0.00119836;0.00119811;0.0018271
3696.54;3711.37;GND;POWER;0.00119811;0.00120779;-0.00551855
3696.54;3711.37;POWER;BOTTOM_LAYER;0.00120779;0.00120854;-0.00551855
3696.54;3736.97;TOP_LAYER;GND;0.00118623;0.00118194;0.0318276
3696.54;3736.97;GND;POWER;0.00118194;0.00119537;-0.00765523
3696.54;3736.97;POWER;BOTTOM_LAYER;0.00119537;0.0011964;-0.00765523
3697.53;3571.61;TOP_LAYER;GND;0.00127628;0.00127569;0.00436956
3697.53;3571.61;GND;POWER;0.00127569;0.00127272;0.00169088
3697.53;3571.61;POWER;BOTTOM_LAYER;0.00127272;0.00127249;0.00169088
3699.06;4191.69;TOP_LAYER;GND;0.000737017;0.00073514;0.0139051
3699.06;4191.69;GND;POWER;0.00073514;0.000747307;-0.00693447
3699.06;4191.69;POWER;BOTTOM_LAYER;0.000747307;0.000748243;-0.00693447
3699.06;4217.28;TOP_LAYER;GND;0.000737017;0.00073514;0.0139051
3699.06;4217.28;GND;POWER;0.00073514;0.000744549;-0.00536255
3699.06;4217.28;POWER;BOTTOM_LAYER;0.000744549;0.000745273;-0.00536255
3700.04;4051.93;TOP_LAYER;GND;0.000820666;0.000821686;-0.00755316
3700.04;4051.93;GND;POWER;0.000821686;0.000817997;0.00210264
3700.04;4051.93;POWER;BOTTOM_LAYER;0.000817997;0.000817713;0.00210264
3704.96;3297.99;TOP_LAYER;GND;0.00145779;0.00145791;-0.000894105
3704.96;3297.99;GND;POWER;0.00145791;0.00145853;-0.000351092
3704.96;3297.99;POWER;BOTTOM_LAYER;0.00145853;0.00145858;-0.000351092
3704.96;3337.36;TOP_LAYER;GND;0.00145779;0.00145775;0.000340795
3704.96;3337.36;GND;POWER;0.00145775;0.00145774;3.19395e-06
3704.96;3337.36;POWER;BOTTOM_LAYER;0.00145774;0.00145774;3.19395e-06
3704.96;3376.73;TOP_LAYER;GND;0.00145591;0.00145589;0.000158529
3704.96;3376.73;GND;POWER;0.00145589;0.00145657;-0.000383458
3704.96;3376.73;POWER;BOTTOM_LAYER;0.00145657;0.00145662;-0.000383458
3704.96;4365.9;TOP_LAYER;GND;0.000614121;0.000614148;-0.000204495
3704.96;4365.9;GND;POWER;0.000614148;0.000614018;7.43456e-05
3704.96;4365.9;POWER;BOTTOM_LAYER;0.000614018;0.000614008;7.43456e-05
3704.96;4405.27;TOP_LAYER;GND;0.000613008;0.00061299;0.000135629
3704.96;4405.27;GND;POWER;0.00061299;0.000613045;-3.17698e-05
3704.96;4405.27;POWER;BOTTOM_LAYER;0.000613045;0.00061305;-3.17698e-05
3704.96;4444.64;TOP_LAYER;GND;0.000612109;0.00061211;-4.66289e-06
3704.96;4444.64;GND;POWER;0.00061211;0.000612181;-4.07202e-05
3704.96;4444.64;POWER;BOTTOM_LAYER;0.000612181;0.000612187;-4.07202e-05
3709.34;3527.32;TOP_LAYER;GND;0.00128452;0.00128653;-0.0149173
3709.34;3527.32;GND;POWER;0.00128653;0.00128508;0.000827706
3709.34;3527.32;POWER;BOTTOM_LAYER;0.00128508;0.00128497;0.000827706
3709.34;3550.94;TOP_LAYER;GND;0.00128326;0.00128653;-0.0242732
3709.34;3550.94;GND;POWER;0.00128653;0.00128508;0.000827706
3709.34;3550.94;POWER;BOTTOM_LAYER;0.00128508;0.00128497;0.000827706
3711.85;4007.64;TOP_LAYER;GND;0.000832498;0.000834901;-0.0178022
3711.85;4007.64;GND;POWER;0.000834901;0.000826475;0.00480241
3711.85;4007.64;POWER;BOTTOM_LAYER;0.000826475;0.000825827;0.00480241
3711.85;4031.26;TOP_LAYER;GND;0.000821684;0.000821686;-1.42952e-05
3711.85;4031.26;GND;POWER;0.000821686;0.000817997;0.00210264
3711.85;4031.26;POWER;BOTTOM_LAYER;0.000817997;0.000817713;0.00210264
3720.17;3711.37;TOP_LAYER;GND;0.00119549;0.00119811;-0.0194046
3720.17;3711.37;GND;POWER;0.00119811;0.00120779;-0.00551855
3720.17;3711.37;POWER;BOTTOM_LAYER;0.00120779;0.00120854;-0.00551855
3720.17;3736.97;TOP_LAYER;GND;0.00117546;0.00118194;-0.0480286
3720.17;3736.97;GND;POWER;0.00118194;0.00119537;-0.00765523
3720.17;3736.97;POWER;BOTTOM_LAYER;0.00119537;0.0011964;-0.00765523
3722.68;4191.69;TOP_LAYER;GND;0.000735287;0.00073514;0.0010886
3722.68;4191.69;GND;POWER;0.00073514;0.000747307;-0.00693447
3722.68;4191.69;POWER;BOTTOM_LAYER;0.000747307;0.000748243;-0.00693447
3722.68;4217.28;TOP_LAYER;GND;0.000725636;0.00073514;-0.0704147
3722.68;4217.28;GND;POWER;0.00073514;0.000747307;-0.00693447
3722.68;4217.28;POWER;BOTTOM_LAYER;0.000747307;0.000748243;-0.00693447
3743.79;3711.37;TOP_LAYER;GND;0.00119113;0.00118913;0.0148389
3743.79;3711.37;GND;POWER;0.00118913;0.00119468;-0.0031658
3743.79;3711.37;POWER;BOTTOM_LAYER;0.00119468;0.00119511;-0.0031658
3743.79;3736.97;TOP_LAYER;GND;0.00117546;0.00116801;0.055185
3743.79;3736.97;GND;POWER;0.00116801;0.00117138;-0.00191821
3743.79;3736.97;POWER;BOTTOM_LAYER;0.00117138;0.00117163;-0.00191821
3744.33;3297.99;TOP_LAYER;GND;0.00146343;0.00146371;-0.00201643
3744.33;3297.99;GND;POWER;0.00146371;0.0014647;-0.000568701
3744.33;3297.99;POWER;BOTTOM_LAYER;0.0014647;0.00146478;-0.000568701
3744.33;3337.36;TOP_LAYER;GND;0.00146343;0.00146316;0.00206105
3744.33;3337.36;GND;POWER;0.00146316;0.00146299;9.63525e-05
3744.33;3337.36;POWER;BOTTOM_LAYER;0.00146299;0.00146297;9.63525e-05
3744.33;3376.73;TOP_LAYER;GND;0.00145802;0.00145797;0.000363673
3744.33;3376.73;GND;POWER;0.00145797;0.00145964;-0.000948733
3744.33;3376.73;POWER;BOTTOM_LAYER;0.00145964;0.00145977;-0.000948733
3744.33;4365.9;TOP_LAYER;GND;0.000612034;0.00061241;-0.00278685
3744.33;4365.9;GND;POWER;0.00061241;0.000612024;0.00022
3744.33;4365.9;POWER;BOTTOM_LAYER;0.000612024;0.000611994;0.00022
3744.33;4405.27;TOP_LAYER;GND;0.000608908;0.000608952;-0.000325147
3744.33;4405.27;GND;POWER;0.000608952;0.000609063;-6.30445e-05
3744.33;4405.27;POWER;BOTTOM_LAYER;0.000609063;0.000609071;-6.30445e-05
3744.33;4444.64;TOP_LAYER;GND;0.000606942;0.000606952;-7.45852e-05
3744.33;4444.64;GND;POWER;0.000606952;0.000607176;-0.000127832
3744.33;4444.64;POWER;BOTTOM_LAYER;0.000607176;0.000607193;-0.000127832
3746.3;4191.69;TOP_LAYER;GND;0.000725636;0.000720276;0.039717
3746.3;4191.69;GND;POWER;0.000720276;0.000733229;-0.00738223
3746.3;4191.69;POWER;BOTTOM_LAYER;0.000733229;0.000734225;-0.00738223
