x;y;layer1;layer2;voltage1;voltage2;current
3547.48;3297.99;GND;POWER;3.45394e-05;3.4595e-05;-3.16994e-05
3547.48;3297.99;POWER;BOTTOM_LAYER;3.4595e-05;3.45993e-05;-3.16994e-05
3547.48;3337.36;TOP_LAYER;GND;3.45333e-05;3.45322e-05;7.94867e-06
3547.48;3337.36;GND;POWER;3.45322e-05;3.45676e-05;-2.01354e-05
3547.48;3337.36;POWER;BOTTOM_LAYER;3.45676e-05;3.45703e-05;-2.01354e-05
3547.48;3376.73;TOP_LAYER;GND;3.44654e-05;3.44719e-05;-4.79087e-05
3547.48;3376.73;GND;POWER;3.44719e-05;3.45296e-05;-3.29252e-05
3547.48;3376.73;POWER;BOTTOM_LAYER;3.45296e-05;3.45341e-05;-3.29252e-05
3547.48;4365.9;TOP_LAYER;GND;6.10851e-06;6.11063e-06;-1.57079e-05
3547.48;4365.9;GND;POWER;6.11063e-06;6.06163e-06;2.79298e-05
3547.48;4365.9;POWER;BOTTOM_LAYER;6.06163e-06;6.05786e-06;2.79298e-05
3547.48;4405.27;TOP_LAYER;GND;6.05378e-06;6.04959e-06;3.10951e-05
3547.48;4405.27;GND;POWER;6.04959e-06;6.02854e-06;1.19971e-05
3547.48;4405.27;POWER;BOTTOM_LAYER;6.02854e-06;6.02692e-06;1.19971e-05
3547.48;4444.64;TOP_LAYER;GND;6.02623e-06;6.02505e-06;8.73218e-06
3547.48;4444.64;GND;POWER;6.02505e-06;6.00495e-06;1.14572e-05
3547.48;4444.64;POWER;BOTTOM_LAYER;6.00495e-06;6.0034e-06;1.14572e-05
3575.48;3525.35;TOP_LAYER;GND;2.77918e-05;2.77841e-05;5.74408e-05
3575.48;3525.35;GND;POWER;2.77841e-05;2.76645e-05;6.81507e-05
3575.48;3525.35;POWER;BOTTOM_LAYER;2.76645e-05;2.76553e-05;6.81507e-05
3575.48;3550.94;TOP_LAYER;GND;2.7736e-05;2.77841e-05;-0.000356241
3575.48;3550.94;GND;POWER;2.77841e-05;2.76645e-05;6.81507e-05
3575.48;3550.94;POWER;BOTTOM_LAYER;2.76645e-05;2.76553e-05;6.81507e-05
3575.48;3728.11;TOP_LAYER;GND;2.61423e-05;2.61164e-05;0.000191957
3575.48;3728.11;GND;POWER;2.61164e-05;2.63586e-05;-0.00013805
3575.48;3728.11;POWER;BOTTOM_LAYER;2.63586e-05;2.63772e-05;-0.00013805
3575.48;3753.7;TOP_LAYER;GND;2.61423e-05;2.61164e-05;0.000191957
3575.48;3753.7;GND;POWER;2.61164e-05;2.63586e-05;-0.00013805
3575.48;3753.7;POWER;BOTTOM_LAYER;2.63586e-05;2.63772e-05;-0.00013805
3577.99;4005.67;TOP_LAYER;GND;1.18112e-05;1.18986e-05;-0.000647781
3577.99;4005.67;GND;POWER;1.18986e-05;1.16851e-05;0.00012173
3577.99;4005.67;POWER;BOTTOM_LAYER;1.16851e-05;1.16686e-05;0.00012173
3577.99;4031.26;TOP_LAYER;GND;1.18112e-05;1.17659e-05;0.000335732
3577.99;4031.26;GND;POWER;1.17659e-05;1.15831e-05;0.000104169
3577.99;4031.26;POWER;BOTTOM_LAYER;1.15831e-05;1.15691e-05;0.000104169
3577.99;4208.42;TOP_LAYER;GND;1.0597e-05;1.05955e-05;1.08996e-05
3577.99;4208.42;GND;POWER;1.05955e-05;1.07032e-05;-6.13747e-05
